candidate,party,statement,websites
Shenna Bellows,Democrat,"Before becoming Maine’s first female secretary of state in January 2021, Shenna Bellows served two terms in the Maine Senate from 2016-2020. In 2014, she lost as Democratic challenger to U.S. Sen. Susan Collins. Prior to public service, she was executive director of the Holocaust and Human Rights Center of Maine. From 2005 to 2013, Bellows was executive director of the American Civil Liberties Union of Maine. Secretary Bellows grew up in Hancock and is a graduate of Ellsworth High School.",[https://www.bellowsformaine.com/ https://mainemorningstar.com/2025/03/26/maine-secretary-of-state-shenna-bellows-officially-announces-bid-for-governor/]
Rick Bennett,Independent,"A lifelong Mainer, Rick Bennett currently serves as Oxford County’s senator, a term he plans to finish in 2026 to total 18 combined years of nonconsecutive service in the Maine House of Representatives and Senate, including formerly serving as Senate president. While he's running for governor as an independent, he spent his decades of public service as a Republican.",[https://www.bennettforgovernor.com https://mainemorningstar.com/2025/06/24/republican-sen-rick-bennett-announces-independent-bid-for-maine-governor/]
Jonathan Bush,Republican,"Jonathan Bush is a health care entrepreneur who founded athenahealth, the headquarters of which he eventually moved to Belfast, as well as the Boston-based Zus Health. Bush, who is the nephew of the late President George H.W. Bush, spent his summers in North Haven and moved to Cape Elizabeth in recent years. In summer 2025, he launched Maine for Keeps, a podcast and advocacy group that he has described as a “solutions factory” aimed at improving the state’s business environment.",[https://www.maineforkeepspodcast.com/ https://jonathanbush.org https://mainemorningstar.com/2025/10/08/branding-himself-as-a-disruptor-republican-jonathan-bush-launches-bid-for-governor/]
Kenneth Capron,Republican,"Kenneth Capron is a Portland-based retired Certified Public Accountant and financial fraud investigator. He is the founder of MicroRail Inc., a transportation research organization, and previously served as Maine Medical Center’s accounting director, among other positions.",[https://mainemorningstar.com/2025/08/06/here-are-the-republicans-vying-to-replace-gov-janet-mills-next-november/]
Bobby Charles,Republican,"Bobby Charles is a Leeds resident and lawyer who served under former President Ronald Reagan and both Bush administrations. His campaign website highlights his tenure in federal politics, including as Assistant U.S. Secretary of State under George W. Bush.",[https://www.bobbyformaine.com/ https://mainemorningstar.com/2025/08/06/here-are-the-republicans-vying-to-replace-gov-janet-mills-next-november/]
Jason Cherry,Democrat,Jason Cherry is a former criminal defense attorney and FBI Special Agent. He also worked as a legal instructor after graduating with a legal degree from the George Mason School of Law. In 2024 he ran an unsuccessful campaign as an independent against U.S. Sen. Angus King.,[]
Ed Crockett,Independent,"Ed Crockett is a state representative from Portland. Crockett is approaching his eighth and final year in the Maine House of Representatives, where he served as a Democrat before unenrolling to run as an independent for governor. Before assuming public office, Crocket had a decades-long career in sales and marketing, leading initiatives for Maine-based companies such as Country Kitchen, Hannaford and Oakhurst Dairy.",[https://www.edcrockettformaine.com/meet-ed https://mainemorningstar.com/2025/09/25/state-rep-ed-crockett-enters-maine-governors-race-as-independent/]
John Glowa,Independent,"John Glowa worked for the Maine Department of Environmental Protection as an environmental specialist from 1987 until 2016. After retiring, he ran for state representative as a member of the Democratic Party in 2016, and for a seat in the Maine Senate in 2018.",[https://johnglowaforgovernor.com/]
Troy Jackson,Democrat,"Troy Jackson, an Allagash-native and fifth-generation logger, served as president of the Maine Senate from 2018-2024. During his time as a legislator, Jackson focused on lowering prescription drug costs, passing universal school meals, as well as securing funding for rural hospitals and veterans’ homes.",[https://jacksonformaine.com/ https://mainemorningstar.com/briefs/former-senate-president-troy-jackson-enters-race-for-governor/]
David Jones,Republican,"David Jones owns F.O. Bailey Real Estate in Falmouth, and previously founded a commercial construction company that built high-rises, apartments and single-family homes. He has never held public office, but ran for governor as an independent two decades ago, but ultimately withdrew and endorsed the Republican candidate.",[https://www.jones2026.com/ https://mainemorningstar.com/2025/08/06/here-are-the-republicans-vying-to-replace-gov-janet-mills-next-november/]
Angus King III,Democrat,"Angus King III has worked in the renewable energy sector having founded Peaks Renewables, which develops renewable natural gas and green hydrogen at a facility in Clinton. Born in Skowhegan, he now lives in Portland with his wife and two children. He is the son of independent U.S. Sen. Angus King.",[https://angusforgovernor.com/ https://mainemorningstar.com/briefs/son-of-independent-senator-angus-king-iii-announces-run-for-maine-governor/]
Derek Levasseur,Independent,Derek Levasseur describes himself as a small business leader. He published a memoir earlier this year about overcoming adversity. He said his focus is lowering the cost of living and reforming the state Department of Health and Human Services.,[https://www.facebook.com/DerekForMaine https://mainemorningstar.com/briefs/independent-who-previously-tried-to-challenge-sen-collins-announces-gubernatorial-bid/]
James Libby,Republican,"James Libby is in the middle of his second consecutive term in the Maine Senate representing parts of Cumberland, Oxford and York counties. He has also spent time as a state representative after being first elected to the Legislature in 1992, serving for six non-consecutive terms overall. He is a professor at Thomas College, and serves on the Legislature’s Education and Cultural Affairs Committee.",[https://www.jimlibbyforgovernor.com/ https://mainemorningstar.com/briefs/republican-state-senator-enters-race-for-governor/]
Garrett Mason,Republican,"Garrett Mason, a Republican from Lisbon, spent eight years in the Maine Legislature, serving as Senate majority leader from 2014 to 2018. He launched his first bid for governor in 2018, coming in second in the GOP primary. Mason currently works as a lobbyist with Dirigo Public Affairs and in October 2025 launched a podcast, ""The Garrett Mason Show.""",[https://mainemorningstar.com/2026/01/07/former-senate-majority-leader-mason-announces-2026-gubernatorial-run/]
Owen McCarthy,Republican,"Owen McCarthy is a University of Maine trustee from Gorham. He is also a Harvard Business School graduate who co-founded MedRhythms, a medical technology company which helps patients recover mobility.",[https://owenformaine.com/ https://mainemorningstar.com/2025/08/06/here-are-the-republicans-vying-to-replace-gov-janet-mills-next-november/]
Ben Midgley,Republican,"The Kennebunkport Republican has served as the president of Planet Fitness, the national gym chain with more than 2,700 locations, and was a founding partner and the former chief executive officer of Crunch Franchising, another chain with 460 locations nationwide.",[https://www.benforgovernor.com https://mainemorningstar.com/2025/08/06/here-are-the-republicans-vying-to-replace-gov-janet-mills-next-november/]
Alexander Murchison,Independent,Alexander Murchison is an independent candidate from Dover Foxcroft looking to fill the open seat for governor.,[]
Kenneth Pinet,Democrat,Kenneth Pinet is a Democrat running for governor. His candidate filings list a South Portland address.,[]
Hannah Pingree,Democrat,"Hannah Pingree most recently served as head of Gov. Janet Mills’ Office of Policy Innovation and the Future, also known as GOPIF. Before working in the Mills administration, she served four terms in the Maine Legislature including two years as speaker of the state House of Representatives. She is the daughter of U.S. Rep. Chellie Pingree.",[https://hannahforgovernor.com/ https://mainemorningstar.com/briefs/hannah-pingree-officially-launches-run-for-governor/]
Nirav Shah,Democrat,"Nirav Shah is the former head of the Maine Center for Disease Control and Prevention. After leading the state through the Covid-19 pandemic, Shah was appointed second in command at the U.S. Centers for Disease Control and Prevention under former President Joe Biden. After President Trump's election, Shah returned home to Maine and is currently living in Brunswick and serving as a professor at Colby College.",[]
Steven Sheppard,Republican,Steven Sheppard is a Republican from Bangor running for governor.,[https://www.sheppardgovernorofmaine.com]
Robert Wessels,Republican,Robert Wessels served four years on the Town of Paris' selectboard after being elected in 2012. He earned his Master of Business Administration and opened an ice cream shop with his family during the pandemic.,[https://www.voterobertwessels.com/]
